Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: Age-standardized (Rate),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes","Indicator:Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) - Sex:Both sexes_x"
AFG,1990,2314,132.74,1,10.4
AFG,1991,2044,129.63,1.1,10.7
AFG,1992,1891,126.58,1.2,11
AFG,1993,1910,124.93,1.2,11.4
AFG,1994,1820,123.9,1.3,11.7
AFG,1995,1844,121.79,1.4,12.1
AFG,1996,1843,118.93,1.5,12.5
AFG,1997,1874,114.91,1.6,12.9
AFG,1998,1903,110.87,1.7,13.4
AFG,1999,1852,108.27,1.8,13.8
AFG,2000,1790,107.69,1.9,14.2
AFG,2001,1737,109.15,2,14.7
AFG,2002,1826,109.05,2.1,15.2
AFG,2003,1892,110.7,2.2,15.6
AFG,2004,1967,113.26,2.3,16.1
AFG,2005,1948,115.48,2.5,16.6
AFG,2006,1966,119.3,2.6,17.1
AFG,2007,2046,125.22,2.8,17.7
AFG,2008,2041,132.57,2.9,18.2
AFG,2009,2081,139.38,3.1,18.8
AFG,2010,2104,145.02,3.3,19.3
AFG,2011,2107,150.19,3.5,19.9
AFG,2012,2100,155.28,3.7,20.5
AFG,2013,2090,159.74,3.9,21.1
AFG,2014,2095,164.35,4.1,21.7
AFG,2015,2044,168.65,4.3,22.3
AFG,2016,2034,171.79,4.5,23
ALB,1990,2568,74.6,8.7,40.5
ALB,1991,2572,75.05,9,41
ALB,1992,2654,71.02,9.4,41.5
ALB,1993,2795,66.88,9.7,42
ALB,1994,2877,62.28,10.1,42.5
ALB,1995,2717,63.72,10.6,43.1
ALB,1996,2843,65.38,11,43.6
ALB,1997,2725,66.71,11.4,44.2
ALB,1998,2725,67.73,11.9,44.8
ALB,1999,2797,69.26,12.3,45.4
ALB,2000,2734,69.36,12.8,46
ALB,2001,2803,67.47,13.3,46.6
ALB,2002,2864,70.67,13.9,47.3
ALB,2003,2772,75.64,14.4,48
ALB,2004,2792,76.49,15,48.7
ALB,2005,2874,75.7,15.6,49.5
ALB,2006,2855,72.14,16.2,50.2
ALB,2007,2860,69.27,16.9,51
ALB,2008,2947,70.12,17.5,51.8
ALB,2009,2993,69.12,18.1,52.5
ALB,2010,3076,69.12,18.7,53.3
ALB,2011,3132,70.07,19.3,54
ALB,2012,3184,70.33,19.9,54.8
ALB,2013,3193,70.9,20.5,55.5
ALB,2014,3266,72.19,21.1,56.3
ALB,2015,3280,73.55,21.7,57
ALB,2016,3381,73.86,22.3,57.7
DZA,1990,2754,131.8,10.3,41.4
DZA,1991,2733,130.94,10.8,42.2
DZA,1992,2865,130.33,11.2,43
DZA,1993,2865,130.01,11.6,43.8
DZA,1994,2763,129.97,12.1,44.6
DZA,1995,2785,129.15,12.5,45.4
DZA,1996,2784,127.94,13,46.3
DZA,1997,2733,126.41,13.5,47.1
