Code;Year;Life expectancy at birth (historical)
AFG;1950;27,7
AFG;1951;28
AFG;1952;28,4
AFG;1953;28,9
AFG;1954;29,2
AFG;1955;29,9
AFG;1956;30,4
AFG;1957;30,9
AFG;1958;31,5
AFG;1959;32
AFG;1960;32,5
AFG;1961;33,1
AFG;1962;33,5
AFG;1963;34
AFG;1964;34,5
AFG;1965;35
AFG;1966;35,5
AFG;1967;35,9
AFG;1968;36,4
AFG;1969;36,9
AFG;1970;37,4
AFG;1971;37,9
AFG;1972;38,4
AFG;1973;39
AFG;1974;39,5
AFG;1975;40,1
AFG;1976;40,6
AFG;1977;41,2
AFG;1978;40,3
AFG;1979;39,1
AFG;1980;39,6
AFG;1981;40,2
AFG;1982;37,8
AFG;1983;38,2
AFG;1984;33,3
AFG;1985;33,6
AFG;1986;39,4
AFG;1987;39,8
AFG;1988;44
AFG;1989;45,2
AFG;1990;46
AFG;1991;46,7
AFG;1992;47,6
AFG;1993;51,5
AFG;1994;51,5
AFG;1995;52,5
AFG;1996;53,2
AFG;1997;53,6
AFG;1998;52,9
AFG;1999;54,8
AFG;2000;55,3
AFG;2001;55,8
AFG;2002;56,5
AFG;2003;57,3
AFG;2004;57,9
AFG;2005;58,4
AFG;2006;58,7
AFG;2007;59,1
AFG;2008;59,9
AFG;2009;60,4
AFG;2010;60,9
AFG;2011;61,4
AFG;2012;61,9
AFG;2013;62,4
AFG;2014;62,5
AFG;2015;62,7
AFG;2016;63,1
AFG;2017;63
AFG;2018;63,1
AFG;2019;63,6
AFG;2020;62,6
AFG;2021;62
ALB;1950;44,7
ALB;1951;45,1
ALB;1952;46
ALB;1953;46,5
ALB;1954;47,6
ALB;1955;48,5
ALB;1956;49,6
ALB;1957;50,7
ALB;1958;52
ALB;1959;53,2
ALB;1960;54,4
ALB;1961;55,6
ALB;1962;56,7
ALB;1963;57,8
ALB;1964;59
ALB;1965;60
ALB;1966;61
ALB;1967;62
ALB;1968;62,9
ALB;1969;63,9
ALB;1970;64,8
ALB;1971;65,6
ALB;1972;66,4
ALB;1973;67,1
ALB;1974;67,8
ALB;1975;68,3
ALB;1976;68,7
ALB;1977;69,1
ALB;1978;69,3
ALB;1979;69,6
ALB;1980;70,5
ALB;1981;70,7
ALB;1982;71
ALB;1983;71,3
ALB;1984;71,5
ALB;1985;71,7
ALB;1986;71,9
ALB;1987;72,4
ALB;1988;72,6
ALB;1989;72,9
ALB;1990;73,1
ALB;1991;73,4
ALB;1992;73,7
ALB;1993;73,9
ALB;1994;74,1
ALB;1995;74,4
ALB;1996;74,6
ALB;1997;73,9
ALB;1998;75
ALB;1999;75,2
ALB;2000;75,4
ALB;2001;75,6
ALB;2002;75,9
ALB;2003;76,1
ALB;2004;76,4
ALB;2005;76,6
ALB;2006;76,8
ALB;2007;77,5
ALB;2008;77,7
ALB;2009;77,8
ALB;2010;77,9
ALB;2011;78,1
ALB;2012;78,1
ALB;2013;78,1
ALB;2014;78,4
ALB;2015;78,6
ALB;2016;78,9
ALB;2017;79
ALB;2018;79,2
ALB;2019;79,3
ALB;2020;77
ALB;2021;76,5
DZA;1923;28,82
DZA;1933;31,22
DZA;1943;33,72
DZA;1950;42,4
DZA;1951;42,5
DZA;1952;42,9
DZA;1953;42,9
DZA;1954;40,2
DZA;1955;40,4
DZA;1956;40,3
DZA;1957;40,4
DZA;1958;40,4
DZA;1959;40,5
DZA;1960;40,5
DZA;1961;40,5
DZA;1962;39,3
DZA;1963;42,9
DZA;1964;42,8
DZA;1965;42,7
DZA;1966;42,5
DZA;1967;42,6
DZA;1968;42,6
DZA;1969;42,8
DZA;1970;43,2
DZA;1971;43,7
DZA;1972;44,3
DZA;1973;45,1
DZA;1974;46
DZA;1975;47
DZA;1976;48
DZA;1977;49,2
DZA;1978;50,4
DZA;1979;51,8
DZA;1980;53,3
DZA;1981;55,3
DZA;1982;57,4
DZA;1983;59,5
DZA;1984;61,7
DZA;1985;63,6
DZA;1986;65,2
DZA;1987;65,8
DZA;1988;67
DZA;1989;67,1
DZA;1990;67,4
DZA;1991;67,7
DZA;1992;67,8
DZA;1993;67,7
DZA;1994;67,4
DZA;1995;67,5
DZA;1996;68,7
DZA;1997;69,2
DZA;1998;69,5
DZA;1999;70
DZA;2000;70,5
DZA;2001;70,8
DZA;2002;71,2
DZA;2003;71,3
DZA;2004;71,8
DZA;2005;72,1
DZA;2006;72,3
DZA;2007;72,6
DZA;2008;72,9
DZA;2009;73,6
DZA;2010;73,8
DZA;2011;74,1
DZA;2012;74,2
DZA;2013;74,6
DZA;2014;75,1
DZA;2015;75,6
DZA;2016;75,7
DZA;2017;75,7
DZA;2018;76,1
DZA;2019;76,5
DZA;2020;74,5
DZA;2021;76,4
ASM;1950;61
ASM;1951;61,4
ASM;1952;61,6
ASM;1953;61,3
ASM;1954;62,1
ASM;1955;62,3
ASM;1956;62,6
ASM;1957;62,9
ASM;1958;63,3
ASM;1959;63,6
ASM;1960;64,7
ASM;1961;65,5
ASM;1962;65,9
ASM;1963;65,9
ASM;1964;66,3
ASM;1965;66,3
ASM;1966;58,8
ASM;1967;66,2
ASM;1968;66,2
ASM;1969;66,4
ASM;1970;66,6
ASM;1971;67,1
ASM;1972;67,3
ASM;1973;67,4
ASM;1974;67,7
ASM;1975;67,8
ASM;1976;68
ASM;1977;68,2
ASM;1978;68,5
ASM;1979;68,7
ASM;1980;68,9
ASM;1981;69,2
ASM;1982;69,3
ASM;1983;69,5
ASM;1984;69,7
ASM;1985;70
ASM;1986;70,2
ASM;1987;70,8
ASM;1988;70,4
ASM;1989;70,1
ASM;1990;69,9
ASM;1991;70,6
ASM;1992;70,6
ASM;1993;70,8
ASM;1994;70,8
ASM;1995;71,1
ASM;1996;71,1
ASM;1997;71,3
ASM;1998;71,3
ASM;1999;71,1
ASM;2000;71
ASM;2001;70,9
ASM;2002;71,3
ASM;2003;71,1
ASM;2004;72
ASM;2005;72,3
ASM;2006;72,1
ASM;2007;72,1
ASM;2008;72,1
ASM;2009;70,5
ASM;2010;72,1
ASM;2011;72,1
ASM;2012;72,3
ASM;2013;72,3
ASM;2014;72,3
ASM;2015;72,5
ASM;2016;72,4
ASM;2017;72,5
ASM;2018;72,5
ASM;2019;72,3
ASM;2020;72,4
ASM;2021;72,5
AND;1950;64,6
AND;1951;64,2
AND;1952;67,4
AND;1953;68,2
AND;1954;69,5
AND;1955;69,3
AND;1956;69,3
AND;1957;69,1
AND;1958;71,4
AND;1959;71,2
AND;1960;72
AND;1961;72,1
AND;1962;72,4
AND;1963;72,2
AND;1964;72,8
AND;1965;73,4
AND;1966;73,4
AND;1967;73,3
AND;1968;73,5
AND;1969;73
AND;1970;74,3
AND;1971;73,7
AND;1972;74,9
AND;1973;74,6
AND;1974;74,9
AND;1975;75,1
AND;1976;75,3
AND;1977;75,8
AND;1978;75,9
AND;1979;76,4
AND;1980;76,8
AND;1981;77
AND;1982;77,5
AND;1983;77,3
AND;1984;77,6
AND;1985;77,5
AND;1986;77,7
AND;1987;77,8
AND;1988;77,8
AND;1989;77,8
AND;1990;78,4
AND;1991;78
AND;1992;80,3
AND;1993;78,7
AND;1994;82,6
AND;1995;79
AND;1996;80,3
AND;1997;80,9
AND;1998;79,4
AND;1999;81,3
AND;2000;80,9
AND;2001;81,7
AND;2002;82,2
AND;2003;83,9
AND;2004;80,1
AND;2005;81,8
AND;2006;83
AND;2007;82,7
AND;2008;82,7
AND;2009;82,8
AND;2010;82,8
AND;2011;82,9
AND;2012;82,9
AND;2013;82,9
AND;2014;82,9
AND;2015;83
AND;2016;83
AND;2017;83
AND;2018;83
AND;2019;83
AND;2020;79
AND;2021;80,4
AGO;1940;26,98
AGO;1950;36,3
AGO;1951;36,4
AGO;1952;36,5
AGO;1953;36,7
AGO;1954;36,9
AGO;1955;37,1
AGO;1956;37,3
AGO;1957;37,5
